                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6469,                 3.6766,                 1.8829,                0.56226,                0.25127,                0.15853,                0.07771,                 2.8874,                 2.7225,                  1.891,              0.0002993,              0.0002993,              0.0002993
                      2,                 1.5734,                 1.1947,                 1.2372,                0.08603,                0.22353,                0.09189,                0.04518,                 3.0511,                 2.8864,                  2.301,             0.00058243,             0.00058243,             0.00058243
                      3,                 1.3437,                0.91513,                 1.1173,                 0.8805,                0.27102,                0.27439,                0.12267,                 2.9974,                 2.9126,                 2.1248,             0.00084555,             0.00084555,             0.00084555
                      4,                 1.1781,                0.76844,                 1.0386,                0.32589,                0.24485,                0.22629,                0.11661,                 3.0116,                 3.2291,                 2.1397,             0.00081901,             0.00081901,             0.00081901
                      5,                 1.0621,                 0.6805,                 1.0029,                0.49318,                0.22515,                0.25093,                0.11372,                 2.9232,                 3.3066,                  2.003,             0.00078901,             0.00078901,             0.00078901
                      6,                0.99447,                0.63208,                0.97335,                0.64979,                0.25618,                0.25189,                0.16121,                 3.0612,                  3.745,                 2.1916,             0.00075902,             0.00075902,             0.00075902
                      7,                0.93869,                0.57708,                0.95295,                0.48642,                0.21917,                0.24582,                0.14368,                 2.9794,                  3.446,                 2.1816,             0.00072902,             0.00072902,             0.00072902
                      8,                0.90817,                0.54957,                0.93872,                0.31808,                  0.253,                 0.2657,                0.14462,                 2.9654,                 3.6938,                 2.1643,             0.00069902,             0.00069902,             0.00069902
                      9,                0.85877,                0.52987,                0.92327,                0.23119,                0.21468,                 0.2163,                 0.1029,                 3.0082,                 3.2748,                 2.1796,             0.00066902,             0.00066902,             0.00066902
                     10,                0.83337,                0.50659,                0.91396,                0.40782,                0.23287,                 0.2154,                0.13051,                 2.8793,                 3.4838,                 2.1381,             0.00063903,             0.00063903,             0.00063903
                     11,                0.80383,                0.48937,                0.90472,                0.37041,                0.17684,                0.18054,                 0.1107,                  2.925,                 3.9125,                 2.1045,             0.00060903,             0.00060903,             0.00060903
                     12,                0.78827,                0.47385,                0.90284,                0.20908,                0.18367,                0.19248,                0.08978,                 3.1115,                 4.2205,                 2.2732,             0.00057903,             0.00057903,             0.00057903
                     13,                0.77801,                0.46963,                0.89521,                0.27018,                0.24989,                0.22344,                0.13146,                 3.0629,                  3.594,                 2.2069,             0.00054904,             0.00054904,             0.00054904
                     14,                0.72989,                0.44697,                0.88139,                0.23353,                0.20005,                0.21233,                0.10948,                 3.0895,                 3.4124,                 2.2574,             0.00051904,             0.00051904,             0.00051904
                     15,                0.73849,                0.44949,                0.88313,                0.62321,                0.25964,                0.23186,                0.11287,                 3.1154,                 3.6282,                 2.4065,             0.00048904,             0.00048904,             0.00048904
                     16,                0.69808,                0.42638,                0.87522,                0.22578,                0.19923,                0.22404,                 0.1325,                 3.0343,                 3.6485,                 2.2162,             0.00045904,             0.00045904,             0.00045904
                     17,                0.67853,                0.41053,                0.86653,                 0.2413,                0.20562,                0.21568,                0.10577,                 3.1788,                 3.7542,                 2.2833,             0.00042905,             0.00042905,             0.00042905
                     18,                0.66126,                0.40146,                0.86713,                0.70933,                0.18008,                 0.1999,                0.10101,                 3.0568,                 3.9877,                 2.2984,             0.00039905,             0.00039905,             0.00039905
                     19,                0.65332,                0.39253,                0.86427,                0.38758,                0.18109,                0.19226,                0.11891,                 3.0094,                  3.991,                 2.1804,             0.00036905,             0.00036905,             0.00036905
                     20,                 0.6326,                0.38481,                0.85681,                0.37045,                0.18614,                0.21239,                0.11809,                  3.184,                 3.7241,                 2.3369,             0.00033906,             0.00033906,             0.00033906
                     21,                0.64344,                 0.3744,                0.85808,                0.93902,                0.17182,                0.19876,                0.10446,                 3.0558,                 4.0291,                 2.2985,             0.00030906,             0.00030906,             0.00030906
